list,number,title,videoId,viewCount,status,youtubeTitle,channel,url,error
"都會詩歌","HYMN-011","求祢以真理和愛引導我","vTG-LQPFtRg","82518","kept","求祢以真理和愛引導我 | 同心圓 (TWS 敬拜者使團) | 歌詞MV","More of Jesus Worship (更多有耶穌的敬拜)","https://www.youtube.com/watch?v=vTG-LQPFtRg",""
"都會詩歌","HYMN-012","全地至高是我主","9AsBFAfnUjM","3940","kept","全地至高是我主","Fiona Hui","https://www.youtube.com/watch?v=9AsBFAfnUjM",""
"都會詩歌","HYMN-013","因祢榮耀","WCwTGlsfl5c","20110","kept","角聲使團 因祢榮耀","信•望•愛詩歌頻道 - Faith·Hope·Love Poetry Channel","https://www.youtube.com/watch?v=WCwTGlsfl5c",""
"都會詩歌","HYMN-014","祢的信實廣大","mbnRYggcPpw","440","removed-under-threshold","祢的信實廣大｜會眾詩歌｜台北懷恩堂主日崇拜","Isaac Lam","https://www.youtube.com/watch?v=mbnRYggcPpw",""
"都會詩歌","HYMN-015","稱謝復活主","zniTLYgOw34","1006","removed-under-threshold","稱謝復活主  普天頌讚新修訂版第273首","Penelope Chan","https://www.youtube.com/watch?v=zniTLYgOw34",""
"都會詩歌","HYMN-016","聖哉三一","pw5elBqhQMA","12102","kept","聖哉三一 Holy Holy Holy ｜生命聖詩5（國語）","傳統聖詩 Traditional Hymns","https://www.youtube.com/watch?v=pw5elBqhQMA",""
"都會詩歌","HYMN-017","興起發光","WehSVicC2M8","5595","kept","興起發光","Release - Topic","https://www.youtube.com/watch?v=WehSVicC2M8",""
"都會詩歌","HYMN-018","萬代君主","PZhCPVB0dp8","33507","kept","萬代君主","RainbowPromise","https://www.youtube.com/watch?v=PZhCPVB0dp8",""
"都會詩歌","HYMN-019","阿爸天父","KE8X-sG64nk","1270920","kept","【阿爸天父 Abba Father】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=KE8X-sG64nk",""
"都會詩歌","HYMN-020","除祢以外","a18vlQLgoCc","11409","kept","除祢以外","HKACM - Topic","https://www.youtube.com/watch?v=a18vlQLgoCc",""
"都會詩歌","HYMN-021","以愛還愛","2tX58dM4n1s","23162","kept","以愛還愛","Release - Topic","https://www.youtube.com/watch?v=2tX58dM4n1s",""
"都會詩歌","HYMN-022","何等恩典","u2M-zzt1Whc","4920087","kept","【何等恩典 How Could It Be】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=u2M-zzt1Whc",""
"都會詩歌","HYMN-023","奉獻什麼","4qL_VVKRMMY","6021","kept","奉獻什麼","刘文良 - Topic","https://www.youtube.com/watch?v=4qL_VVKRMMY",""
"都會詩歌","HYMN-024","從這代到那代","kNnZXzsNYPo","895164","kept","【從這代到那代 From Now till Evermore】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=kNnZXzsNYPo",""
"都會詩歌","HYMN-025","恩典之路","YaJ5gof0YNQ","1561318","kept","【恩典之路 The Path of Grace】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=YaJ5gof0YNQ",""
"都會詩歌","HYMN-026","愛中相遇","Muq6RNaLjgU","1337969","kept","【愛中相遇 See You Face to Face】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=Muq6RNaLjgU",""
"都會詩歌","HYMN-027","愛如繁星","QHxdGXUkCFQ","1393932","kept","主愛如繁星 - 粵語詩歌 【官方歌詞版 MV】","Kennex in Jesus","https://www.youtube.com/watch?v=QHxdGXUkCFQ",""
"都會詩歌","HYMN-028","愛有多少","SLnz3WWVAOA","53809","kept","【主愛有多少】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV","天韻合唱團 Heavenly Melody","https://www.youtube.com/watch?v=SLnz3WWVAOA",""
"都會詩歌","HYMN-029","教會的主","Q8PtoXcgfMc","978","removed-under-threshold","教會的主 [ 純音樂 cover | 歌詞 ]","J A piano hymns","https://www.youtube.com/watch?v=Q8PtoXcgfMc",""
"都會詩歌","HYMN-030","榮耀歸與祂","EpVDF3OAY68","220","removed-under-threshold","榮耀歸與祂","Heaven","https://www.youtube.com/watch?v=EpVDF3OAY68",""
"都會詩歌","HYMN-031","每一天","9VisPP2HLtc","52230","kept","每一天","Zonder's Music","https://www.youtube.com/watch?v=9VisPP2HLtc",""
"都會詩歌","HYMN-032","獻上活祭","OcfKXc6pItA","67123","kept","天堂敬拜~獻上活祭（單曲）","GOOD TV DAILY","https://www.youtube.com/watch?v=OcfKXc6pItA",""
"都會詩歌","HYMN-033","祂是耶和華","TVHWJcJN4xg","19389","kept","祂是耶和華","Tony Xu","https://www.youtube.com/watch?v=TVHWJcJN4xg",""
"都會詩歌","HYMN-034","神坐著為王","e-oDTeztqyE","5922","kept","神坐著為王","如此我信後製音樂事工 | The HOPE Music Ministry","https://www.youtube.com/watch?v=e-oDTeztqyE",""
"都會詩歌","HYMN-035","祢是神","9cSuojDc4iw","7937","kept","你是神","全人敬拜 Holistic Worship","https://www.youtube.com/watch?v=9cSuojDc4iw",""
"都會詩歌","HYMN-036","耶穌！耶穌！","kWvRXBLI0uk","515666","kept","【耶穌 耶穌 Jesus, Jesus】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (10)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=kWvRXBLI0uk",""
"都會詩歌","HYMN-037","萬邦之歌","rPidR2UgZHo","1047","removed-under-threshold","萬邦之歌","SCBC Choir・士嘉堡華人浸信會詩班・Toronto","https://www.youtube.com/watch?v=rPidR2UgZHo",""
"都會詩歌","HYMN-038","遍地細說主奇妙","lnAPNXfE16Q","573","removed-under-threshold","詩歌音樂分享:遍地細說主奇妙。","wah yeung","https://www.youtube.com/watch?v=lnAPNXfE16Q",""
"都會詩歌","HYMN-039","頌讚全能上帝","j2D4P98oXW0","302","removed-under-threshold","頌讚全能上帝","All Nations worship & praise Ministries - Topic","https://www.youtube.com/watch?v=j2D4P98oXW0",""
"都會詩歌","HYMN-040","願祢的話","9Qjy1gKQ4dA","477714","kept","願你的話","Vivian Huang","https://www.youtube.com/watch?v=9Qjy1gKQ4dA",""
"都會詩歌","HYMN-041","高舉尊貴的祢","WD8QpzZYzrk","176","removed-under-threshold","高舉尊貴的祢","Release - Topic","https://www.youtube.com/watch?v=WD8QpzZYzrk",""
"都會詩歌","HYMN-042","世上最好的愛","vLa1kd3yBxI","769","removed-under-threshold","世上最好的愛","全人敬拜 Holistic Worship","https://www.youtube.com/watch?v=vLa1kd3yBxI",""
"都會詩歌","HYMN-043","仍能讚美","Bm3j7cxqGP8","14568","kept","仍能讚美","Worship Music-AM","https://www.youtube.com/watch?v=Bm3j7cxqGP8",""
"都會詩歌","HYMN-044","以感恩為祭","ozRtnVOvYvM","688255","kept","『以感恩為祭 』 團契遊樂園5 應許（基督教詩歌）","m2kmusic","https://www.youtube.com/watch?v=ozRtnVOvYvM",""
"都會詩歌","HYMN-045","以馬內利","gB3vpIAYhIM","729792","kept","以馬內利","777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship","https://www.youtube.com/watch?v=gB3vpIAYhIM",""
"都會詩歌","HYMN-046","傳承使命","Iz477EjWNX4","175732","kept","【傳承使命】Official Lyric Video - 官方完整版 (大使命)","HKACM Official 香港基督徒音樂事工協會","https://www.youtube.com/watch?v=Iz477EjWNX4",""
"都會詩歌","HYMN-047","充滿主馨香","AH-i_-I1PQg","2860","removed-under-threshold","充滿主馨香","Tze Bun Lee","https://www.youtube.com/watch?v=AH-i_-I1PQg",""
"都會詩歌","HYMN-048","同領主餐","qFYsELkwt5E","303","removed-under-threshold","同領主餐","Heaven","https://www.youtube.com/watch?v=qFYsELkwt5E",""
"都會詩歌","HYMN-049","唯有耶穌","cMFGl4jAp_w","316045","kept","唯有耶穌","9234 san","https://www.youtube.com/watch?v=cMFGl4jAp_w",""
"都會詩歌","HYMN-050","在祢手中","_YpwaY6KY_Y","126237","kept","在你手中","Joshua Band - Topic","https://www.youtube.com/watch?v=_YpwaY6KY_Y",""
"都會詩歌","HYMN-051","如明亮晨星","ZIi6z99ojQE","27775","kept","主如明亮晨星（國語詩歌）","潘敏珊, 天天頌揚","https://www.youtube.com/watch?v=ZIi6z99ojQE",""
"都會詩歌","HYMN-052","寶貴十架","0YJZUyVOQVY","5699828","kept","【寶貴十架 Precious Cross】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (11P)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=0YJZUyVOQVY",""
"都會詩歌","HYMN-053","幽谷讚美聲","Pfp-sJRc6M4","15392","kept","幽谷讚美聲","彩虹約定 - Topic","https://www.youtube.com/watch?v=Pfp-sJRc6M4",""
"都會詩歌","HYMN-054","從罪灰走向活水","p4DocAb4LBM","74","removed-under-threshold","從罪灰走向活水","衛理公會城中教會詩班","https://www.youtube.com/watch?v=p4DocAb4LBM",""
"都會詩歌","HYMN-055","愛就是","aphnxDaW39Q","50508","kept","【詩歌】愛就是","iTabernacle.net會幕文化","https://www.youtube.com/watch?v=aphnxDaW39Q",""
"都會詩歌","HYMN-056","我心所慕","0CoDTJ5HnSw","711","removed-under-threshold","我心所慕(這是天父世界)","如此我信後製音樂事工 | The HOPE Music Ministry","https://www.youtube.com/watch?v=0CoDTJ5HnSw",""
"都會詩歌","HYMN-057","我是祢愛子","c2zgA20Bl6o","9754","kept","我是你愛子","玻璃海樂團 - Topic","https://www.youtube.com/watch?v=c2zgA20Bl6o",""
"都會詩歌","HYMN-058","我要感謝上主","eJPxfrXs7y0","6221","kept","我要感謝上主（粵語詩歌）","讚美的時刻","https://www.youtube.com/watch?v=eJPxfrXs7y0",""
"都會詩歌","HYMN-059","我願為祢去","KgnklCi-k-Q","61514","kept","我願為祢去 - 小羊詩歌（官方粵語核准版 CantonHymn Demo Cover）","CantonHymn恢復粵語詩歌敬拜文化運動","https://www.youtube.com/watch?v=KgnklCi-k-Q",""
"都會詩歌","HYMN-060","擁戴我主為王","BO5EyHp-8vM","30739","kept","【聖哉 聖哉 聖哉/擁戴我主為王】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV","天韻合唱團 Heavenly Melody","https://www.youtube.com/watch?v=BO5EyHp-8vM",""
"都會詩歌","HYMN-061","是我一切","7zqwxDsvITQ","18456","kept","【祢是我一切】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV","天韻合唱團 Heavenly Melody","https://www.youtube.com/watch?v=7zqwxDsvITQ",""
"都會詩歌","HYMN-062","是我一生的呼召","lspZOQhpu30","539767","kept","【愛祢，是我一生的呼召 I Live My Life To Love You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=lspZOQhpu30",""
"都會詩歌","HYMN-063","是祢先愛我","Ta9_ny2SpWg","494","removed-under-threshold","是祢先愛我","Worship Music-AM","https://www.youtube.com/watch?v=Ta9_ny2SpWg",""
"都會詩歌","HYMN-064","晝夜思念神律法","CIxO_bbfy3c","10915","kept","晝夜思念神律法 Blessed is the Man - 2019 聖詩頌唱會「詩‧人」","香港聖詩會 Hong Kong Hymn Society","https://www.youtube.com/watch?v=CIxO_bbfy3c",""
"都會詩歌","HYMN-065","有祢同行","2KM6F_vQSD0","3578882","kept","《有祢同行》With You by my side - 基恩敬拜AGWMM official MV","基恩敬拜 Amazing Grace Worship","https://www.youtube.com/watch?v=2KM6F_vQSD0",""
"都會詩歌","HYMN-066","榮耀的王成肉身","9y9elbi43HM","3142","kept","榮耀的王成肉身（粵語詩歌）","讚美的時刻","https://www.youtube.com/watch?v=9y9elbi43HM",""
"都會詩歌","HYMN-067","永生神就是靈","lsTdTiXfVBg","8273","kept","永生神就是靈 Immortal, Invisible, God Only Wise - 第二屆聖詩頌唱會「耶穌基督我心所信」","香港聖詩會 Hong Kong Hymn Society","https://www.youtube.com/watch?v=lsTdTiXfVBg",""
"都會詩歌","HYMN-068","為何揀選我","b5nij6n8_JM","8470","kept","為何揀選我","團契遊樂園 - Topic","https://www.youtube.com/watch?v=b5nij6n8_JM",""
"都會詩歌","HYMN-069","為我受傷","0IGQ_LRTmmk","4384","kept","【為我受傷】Wounded for me│詞：Rober & Ovens│曲：William G. J. Ovens│鋼琴：朱素雲│頌唱：Teresa Huang│#基督教傳統詩歌 #受難節復活節詩歌","Teresa古今詩歌Hymns♬","https://www.youtube.com/watch?v=0IGQ_LRTmmk",""
"都會詩歌","HYMN-070","真光普照","BDIPIamUqEE","78880","kept","純·敬拜隊：真光普照","ekmanson","https://www.youtube.com/watch?v=BDIPIamUqEE",""
"都會詩歌","HYMN-071","祢是我神","RdoeAXXld10","5003","kept","祢是我神","touchmusichk - Topic","https://www.youtube.com/watch?v=RdoeAXXld10",""
"都會詩歌","HYMN-072","耶和華以勒","-KNbJjsfGIo","9134","kept","耶和華以勒","栽蒔","https://www.youtube.com/watch?v=-KNbJjsfGIo",""
"都會詩歌","HYMN-073","耶穌奇妙的救恩","Za0hLucl6fI","6199","kept","耶穌奇妙的救恩","宇宙光百人大合唱","https://www.youtube.com/watch?v=Za0hLucl6fI",""
"都會詩歌","HYMN-074","耶穌愛我","6vAILBz8cgo","252359","kept","【 耶穌愛我 Jesus Loves Me】- 活水囝仔兒童敬拜舞蹈","活水囝仔","https://www.youtube.com/watch?v=6vAILBz8cgo",""
"都會詩歌","HYMN-075","耶穌配得至聖尊榮","YE34QiLu1sg","106537","kept","讚之歌_耶穌配得至聖尊榮","Jennifer Poon","https://www.youtube.com/watch?v=YE34QiLu1sg",""
"都會詩歌","HYMN-076","聖名榮光","dYHsbERCqTU","1920","removed-under-threshold","委身詩班20190210主日獻詩 聖名榮光","Taipei Trinity","https://www.youtube.com/watch?v=dYHsbERCqTU",""
"都會詩歌","HYMN-077","聖善夜","WiQbzG7Tew8","107416","kept","【無伴奏合唱 Acapella】聖善夜 O Holy Night｜ 讚美之泉","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=WiQbzG7Tew8",""
"都會詩歌","HYMN-078","至高尊貴的祢","_l7d2uvAXKE","25466","kept","至高尊貴的祢","影音使團有限公司 The Media Evangelism Limited","https://www.youtube.com/watch?v=_l7d2uvAXKE",""
"都會詩歌","HYMN-079","萬國萬民讚美主","OxF1O_xboSA","35679","kept","萬國萬民讚美主 - 2018 基恩敬拜禱告更新｜詩班獻詩","基恩敬拜 Amazing Grace Worship","https://www.youtube.com/watch?v=OxF1O_xboSA",""
"都會詩歌","HYMN-080","薪火永傳","gdjd5T78rBc","131598","kept","『薪火永傳 』 團契遊樂園3 薪火永傳（基督教詩歌）","m2kmusic","https://www.youtube.com/watch?v=gdjd5T78rBc",""
"都會詩歌","HYMN-081","要忠心","yiApkyNmE5Y","15201","kept","生命聖詩346 | 要忠心 | Be True  (We are going forth from the school of Jesus)","SongsOfAscents上行詩","https://www.youtube.com/watch?v=yiApkyNmE5Y",""
"都會詩歌","HYMN-082","讓我感恩","4n8UYvrGX44","2586","removed-under-threshold","讓我感恩","Release - Topic","https://www.youtube.com/watch?v=4n8UYvrGX44",""
"都會詩歌","HYMN-083","讚美我天父","YRrDoIw0ZuA","6318","kept","青年新歌_讚美我天父","Jennifer Poon","https://www.youtube.com/watch?v=YRrDoIw0ZuA",""
"都會詩歌","HYMN-084","至聖上帝","hS3fjCIHHvs","3269","kept","至聖上帝真道 Cantique de Jean Racine｜台北聖樂團 ｜台語詩歌","台北聖樂團 Taipei Oratorio Choir  |  台北聖樂推廣協會","https://www.youtube.com/watch?v=hS3fjCIHHvs",""
"都會詩歌","HYMN-085","分享主愛","mF5b6fWZV9Y","14725","kept","分享主愛﹙粵語﹚伍偉基 Let There Be Love","終極敬拜WorshipInHongKong","https://www.youtube.com/watch?v=mF5b6fWZV9Y",""
"都會詩歌","HYMN-086","遠超萬名之名","n-8i5e3Sdok","435","removed-under-threshold","遠超萬名之名","藍影","https://www.youtube.com/watch?v=n-8i5e3Sdok",""
"都會詩歌","HYMN-087","陪我走過春夏秋冬","AjL3gfY9SOA","8935415","kept","陪我走過春夏秋冬-小羊詩歌(一粒麥子)","joehuang90","https://www.youtube.com/watch?v=AjL3gfY9SOA",""
"都會詩歌","HYMN-088","預苦四十晝夜","Wvxe1XpvvwA","345","removed-under-threshold","齊來學聖詩 (10)：預苦四十晝夜 (普天頌讚新修訂本第209首)","香港聖樂促進會","https://www.youtube.com/watch?v=Wvxe1XpvvwA",""
"都會詩歌","HYMN-089","一生敬拜祢","nGzADKIDf4A","1704745","kept","【一生敬拜祢 All the Days of My Life】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (22)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=nGzADKIDf4A",""
"都會詩歌","HYMN-090","世界最美的聲音","oO-dutjvxLY","1324130","kept","同心圓 |《世界最美的聲音(奇異恩典)》TWS 敬拜者使團「HEART」Live 專輯","同心圓敬拜福音平台 One Circle","https://www.youtube.com/watch?v=oO-dutjvxLY",""
"都會詩歌","HYMN-091","這是天父世界","_1HnQN1OlPE","18496","kept","這是天父世界｜This is my Father's world ｜台北聖樂團｜指揮 李珮琨｜伴奏 盧主芬｜台灣神學院｜中英歌詞","台北聖樂團 Taipei Oratorio Choir  |  台北聖樂推廣協會","https://www.youtube.com/watch?v=_1HnQN1OlPE",""
"都會詩歌","HYMN-092","靠近十架","bb8hzK4Dmtc","3106","kept","【靠近十架】Near the Cross│詞：Fanny Jane Crosby│曲：William Howard Doane│鋼琴：Julie Ann Kitchen│頌唱：Teresa Huang","Teresa古今詩歌Hymns♬","https://www.youtube.com/watch?v=bb8hzK4Dmtc",""
"都會詩歌","HYMN-093","願祢崇高","kX0u2irJc4c","174949","kept","願你崇高－天韻詩歌","Mii","https://www.youtube.com/watch?v=kX0u2irJc4c",""
"都會詩歌","HYMN-094","上主的國","A5Wb91e3stA","722","removed-under-threshold","Taizé 泰澤 - The kingdom of God 上主的國  《110》 ○  20150619_台中南屯 (Taize/taize)","台中泰澤歌詠祈禱團體","https://www.youtube.com/watch?v=A5Wb91e3stA",""
"都會詩歌","HYMN-095","世界最美聲音","gg-W3l8S4Bc","5228","kept","世界最美聲音 (with harmony line)","Ceci Sum","https://www.youtube.com/watch?v=gg-W3l8S4Bc",""
"都會詩歌","HYMN-096","亞伯拉罕的主","Mh8_sBMO12k","291","removed-under-threshold","【聖詩薈萃】亞伯拉罕的主(粵) - 普天頌讚新修訂本39首","香港聖樂促進會","https://www.youtube.com/watch?v=Mh8_sBMO12k",""
"都會詩歌","HYMN-097","人人都應該知道","ZNP7eI_666w","48800","kept","D22人人都應該知道","Edison團契詩歌","https://www.youtube.com/watch?v=ZNP7eI_666w",""
"都會詩歌","HYMN-098","人算甚麼","_nILV6V0NSc","292633","kept","人算甚麼","GraceSong79","https://www.youtube.com/watch?v=_nILV6V0NSc",""
"都會詩歌","HYMN-099","仍然相信祢","VzmM9I0KqUM","278166","kept","【仍然相信祢 / Still Believing】HKACM Official Music Video","HKACM Official 香港基督徒音樂事工協會","https://www.youtube.com/watch?v=VzmM9I0KqUM",""
"都會詩歌","HYMN-100","以愛奉獻","7z6uarutMD8","620","removed-under-threshold","以愛奉獻｜歌詞版","如此我信後製音樂事工 | The HOPE Music Ministry","https://www.youtube.com/watch?v=7z6uarutMD8",""
"都會詩歌","HYMN-101","以馬內利來臨","aHVh-c5aejI","25175","kept","以馬內利來臨歌 O Come, O Come Emmanuel - 2019 聖誕聖跡歌述崇拜","香港聖詩會 Hong Kong Hymn Society","https://www.youtube.com/watch?v=aHVh-c5aejI",""
"都會詩歌","HYMN-102","住在祢裡面","IKGazOdWmH4","1015698","kept","【住在祢裡面 Abiding in You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (16)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=IKGazOdWmH4",""
"都會詩歌","HYMN-103","來崇拜大君","ONdWpgIB8Pc","376","removed-under-threshold","來崇拜大君","敬拜頌歌piano","https://www.youtube.com/watch?v=ONdWpgIB8Pc",""
"都會詩歌","HYMN-104","來稱頌真神","ARKKh2IA4Rg","343","removed-under-threshold","20160731 懷恩堂聖樂崇拜 來稱頌真神 亞薩詩班與會眾 ＠ GBC","Isaac Lam","https://www.youtube.com/watch?v=ARKKh2IA4Rg",""
"都會詩歌","HYMN-105","信心的等待","0mn6wvX1l18","3650801","kept","《信心的等待》Wait with faith - 基恩敬拜AGWMM official MV","基恩敬拜 Amazing Grace Worship","https://www.youtube.com/watch?v=0mn6wvX1l18",""
"都會詩歌","HYMN-106","全能父上帝","XgisFdhTr74","57856","kept","全能父上帝（粵語詩歌）","讚美的時刻","https://www.youtube.com/watch?v=XgisFdhTr74",""
"都會詩歌","HYMN-107","創造奇功","3h3bQm6nBiI","3393","kept","創造奇功歌（詩集：普天頌讚 第11首）","循道衞理佈道團MEM","https://www.youtube.com/watch?v=3h3bQm6nBiI",""
"都會詩歌","HYMN-108","勇敢走出去","w43QIZ79YbY","837966","kept","【勇敢走出去 Stepping Out】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12P)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=w43QIZ79YbY",""
"都會詩歌","HYMN-109","十架犧牲的愛","PpsC-Satfsk","258134","kept","十架犧牲的愛 - 薪火敬拜使團","橄欖枝","https://www.youtube.com/watch?v=PpsC-Satfsk",""
"都會詩歌","HYMN-110","同餅同杯","6zIEotjphl8","86587","kept","《同餅同杯》 // flow church 流堂10.13解慰聖餐聚會 主題曲","flow church 流堂","https://www.youtube.com/watch?v=6zIEotjphl8",""
"都會詩歌","HYMN-111","十架的冠冕","Pz10IS-TCmg","1629304","kept","[高清HD] 十架的冠冕 - Peco Chui 徐偉賢 - 720P MV","1Gmusic","https://www.youtube.com/watch?v=Pz10IS-TCmg",""
"都會詩歌","HYMN-112","向主唱新歌","zHrXuLRnBeo","79","removed-under-threshold","cXc163向主唱新歌","jinjen yang","https://www.youtube.com/watch?v=zHrXuLRnBeo",""
"都會詩歌","HYMN-113","向耶和華唱樂歌","bfR1g9aX9XI","899","removed-under-threshold","RCMBC Oct 02, 2016 Choir: 向耶和華唱樂歌","Lawrence Tsui","https://www.youtube.com/watch?v=bfR1g9aX9XI",""
"都會詩歌","HYMN-114","向至高者讚美","Hx1lMCJ-d-Q","118719","kept","讚之歌_向至高者讚美","Jennifer Poon","https://www.youtube.com/watch?v=Hx1lMCJ-d-Q",""
"都會詩歌","HYMN-115","啊！祢慈愛是何等的寶貴","3yilTsFpRyw","11377","kept","主啊你慈愛是何等的寶貴 伍偉基﹙粵語﹚How Precious Oh Lord","終極敬拜WorshipInHongKong","https://www.youtube.com/watch?v=3yilTsFpRyw",""
"都會詩歌","HYMN-116","回應偉大真神","rQwIiz71FQI","3688","kept","【聖詩薈萃】回應偉大真神(粵) - 普天頌讚新修訂本22首","香港聖樂促進會","https://www.youtube.com/watch?v=rQwIiz71FQI",""
"都會詩歌","HYMN-117","因祂寶架","i7txrulBsMo","493","removed-under-threshold","20150403 (Good Friday) 因祂寶架 Without His Cross (Joseph M. Martin)","TJCAC Choir","https://www.youtube.com/watch?v=i7txrulBsMo",""
"都會詩歌","HYMN-118","因祢堅持","4m6vjriw7a8","496388","kept","因祢堅持 - 鹹蛋音樂事工SEMM🍳","鹹蛋音樂事工Salted Egg Music Ministry","https://www.youtube.com/watch?v=4m6vjriw7a8",""
"都會詩歌","HYMN-119","基督-永恆之主","FAFnTEwl4fk","507","removed-under-threshold","基督--永恆之主｜主日崇拜｜台北懷恩堂｜普天頌讚 #54","Isaac Lam","https://www.youtube.com/watch?v=FAFnTEwl4fk",""
"都會詩歌","HYMN-120","基督耶穌今復生","HfM4bwyNaHw","1658","removed-under-threshold","【基督耶穌今復生】Christ The Lord Is Risen Today│詞：Charles Wesley│曲：Anonymous│鋼琴：Kaleb Brasee│頌唱：Teresa Huang","Teresa古今詩歌Hymns♬","https://www.youtube.com/watch?v=HfM4bwyNaHw",""
"都會詩歌","HYMN-121","天地讚美","2xT4SagZ_jg","353293","kept","天地讚美","C Jenny","https://www.youtube.com/watch?v=2xT4SagZ_jg",""
"都會詩歌","HYMN-122","天天歌唱","GTdvcPBu0UU","44971","kept","天天歌唱","Serene workshop","https://www.youtube.com/watch?v=GTdvcPBu0UU",""
"都會詩歌","HYMN-123","天涯咫尺","Zwk5B2A8aqw","21924","kept","【原創詩歌】天涯咫尺 (粵) Far and Near (2018 「天涯‧咫尺」差傳營會 主題曲)｜jnX 官方版","jnX Worship","https://www.youtube.com/watch?v=Zwk5B2A8aqw",""
"都會詩歌","HYMN-124","天父世界真美麗","aOTaJx7163E","1175","removed-under-threshold","天父世界真美麗(ALL THINS BRIGHT AND BEAUTIFUL；萬物光明極美麗)｜佳音詩班","佳音詩班","https://www.youtube.com/watch?v=aOTaJx7163E",""
