status,song_title,count,first_date,last_date,video_id,youtube_title,channel,length,score,sample_or_url
match,頌讚全能上帝,4,20210808,20250817,j2D4P98oXW0,頌讚全能上帝,All Nations worship & praise Ministries - Topic,3:11,260,https://www.youtube.com/watch?v=j2D4P98oXW0
match,願祢的話,4,20210725,20260308,9Qjy1gKQ4dA,願你的話,Vivian Huang,6:27,260,https://www.youtube.com/watch?v=9Qjy1gKQ4dA
match,高舉尊貴的祢,4,20230101,20250216,WD8QpzZYzrk,高舉尊貴的祢,Release - Topic,3:21,260,https://www.youtube.com/watch?v=WD8QpzZYzrk
match,世上最好的愛,3,20240317,20241222,vLa1kd3yBxI,世上最好的愛,全人敬拜 Holistic Worship,5:03,260,https://www.youtube.com/watch?v=vLa1kd3yBxI
match,仍能讚美,3,20240428,20250622,Bm3j7cxqGP8,仍能讚美,Worship Music-AM ,6:41,272,https://www.youtube.com/watch?v=Bm3j7cxqGP8
match,以感恩為祭,3,20230618,20260208,ozRtnVOvYvM,『以感恩為祭 』 團契遊樂園5 應許（基督教詩歌）,m2kmusic,4:18,107,https://www.youtube.com/watch?v=ozRtnVOvYvM
match,以馬內利,3,20211212,20251214,gB3vpIAYhIM,以馬內利,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship,3:54,260,https://www.youtube.com/watch?v=gB3vpIAYhIM
match,傳承使命,3,20220206,20240915,Iz477EjWNX4,【傳承使命】Official Lyric Video - 官方完整版 (大使命),HKACM Official 香港基督徒音樂事工協會,3:18,103,https://www.youtube.com/watch?v=Iz477EjWNX4
match,充滿主馨香,3,20220213,20230611,AH-i_-I1PQg,充滿主馨香,Tze Bun Lee,2:28,260,https://www.youtube.com/watch?v=AH-i_-I1PQg
match,同領主餐,3,20210704,20230205,qFYsELkwt5E,同領主餐,Heaven,2:37,260,https://www.youtube.com/watch?v=qFYsELkwt5E
match,唯有耶穌,3,20221009,20241124,cMFGl4jAp_w,唯有耶穌,9234 san,3:36,260,https://www.youtube.com/watch?v=cMFGl4jAp_w
match,在祢手中,3,20241117,20260412,_YpwaY6KY_Y,在你手中,Joshua Band 約書亞樂團,5:13,260,https://www.youtube.com/watch?v=_YpwaY6KY_Y
match,如明亮晨星,3,20221225,20260419,ZIi6z99ojQE,主如明亮晨星（國語詩歌）,"潘敏珊, 天天頌揚",3:19,107,https://www.youtube.com/watch?v=ZIi6z99ojQE
match,寶貴十架,3,20211226,20240324,0YJZUyVOQVY,【寶貴十架 Precious Cross】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (11P),讚美之泉 Stream Of Praise Music Ministries,4:15,115,https://www.youtube.com/watch?v=0YJZUyVOQVY
match,幽谷讚美聲,3,20240204,20250727,Pfp-sJRc6M4,幽谷讚美聲,彩虹約定 - Topic,4:24,272,https://www.youtube.com/watch?v=Pfp-sJRc6M4
match,從罪灰走向活水,3,20240218,20260322,p4DocAb4LBM,從罪灰走向活水,衛理公會城中教會詩班,1:33,260,https://www.youtube.com/watch?v=p4DocAb4LBM
match,愛就是,3,20220327,20251207,aphnxDaW39Q,【詩歌】愛就是,iTabernacle.net會幕文化,3:25,107,https://www.youtube.com/watch?v=aphnxDaW39Q
match,我們的神,3,20250914,20251123,kvrRtRe9AoU,【我們的神 You Are Our God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27),讚美之泉 Stream Of Praise Music Ministries,5:59,115,https://www.youtube.com/watch?v=kvrRtRe9AoU
match,我心所慕,3,20210912,20220807,0CoDTJ5HnSw,我心所慕(這是天父世界),如此我信後製音樂事工 | The HOPE Music Ministry ,4:34,95,https://www.youtube.com/watch?v=0CoDTJ5HnSw
match,我是祢愛子,3,20241229,20260517,c2zgA20Bl6o,我是你愛子,玻璃海樂團 - Topic,4:49,268,https://www.youtube.com/watch?v=c2zgA20Bl6o
match,我要感謝上主,3,20211107,20250810,eJPxfrXs7y0,我要感謝上主（粵語詩歌）,讚美的時刻,4:40,107,https://www.youtube.com/watch?v=eJPxfrXs7y0
match,我願為祢去,3,20220130,20250727,KgnklCi-k-Q,我願為祢去 - 小羊詩歌（官方粵語核准版 CantonHymn Demo Cover）,CantonHymn恢復粵語詩歌敬拜文化運動,5:47,115,https://www.youtube.com/watch?v=KgnklCi-k-Q
match,我高舉祢的名,3,20220612,20260426,UbspCrEwMDA,上敬拜Shang Worshippers -主我高舉你的名 Lord I Lift Your Name On High（f.t 黃美珍JANE / 劉文瀚Yusof）,上敬拜 Shang Worshippers,3:03,107,https://www.youtube.com/watch?v=UbspCrEwMDA
match,擁戴我主為王,3,20210606,20241027,BO5EyHp-8vM,【聖哉 聖哉 聖哉/擁戴我主為王】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV,天韻合唱團 Heavenly Melody,3:31,115,https://www.youtube.com/watch?v=BO5EyHp-8vM
match,是我一切,3,20240225,20260315,7zqwxDsvITQ,【祢是我一切】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV,天韻合唱團 Heavenly Melody,3:22,115,https://www.youtube.com/watch?v=7zqwxDsvITQ
match,是我一生的呼召,3,20230723,20260125,lspZOQhpu30,【愛祢，是我一生的呼召 I Live My Life To Love You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27),讚美之泉 Stream Of Praise Music Ministries,5:23,115,https://www.youtube.com/watch?v=lspZOQhpu30
match,是祢先愛我,3,20250427,20250601,Ta9_ny2SpWg,是祢先愛我,Worship Music-AM ,5:20,260,https://www.youtube.com/watch?v=Ta9_ny2SpWg
match,晝夜思念神律法,3,20230723,20250713,CIxO_bbfy3c,晝夜思念神律法 Blessed is the Man - 2019 聖詩頌唱會「詩‧人」,香港聖詩會 Hong Kong Hymn Society,4:15,107,https://www.youtube.com/watch?v=CIxO_bbfy3c
match,有一位神,3,20211003,20260201,evguKWXIbjM,有一位神,讚美之心 Singing Hearts,4:30,260,https://www.youtube.com/watch?v=evguKWXIbjM
match,有祢同行,3,20220925,20251130,2KM6F_vQSD0,《有祢同行》With You by my side - 基恩敬拜AGWMM official MV,基恩敬拜 Amazing Grace Worship,5:39,115,https://www.youtube.com/watch?v=2KM6F_vQSD0
match,榮耀的王成肉身,3,20231224,20241215,9y9elbi43HM,榮耀的王成肉身（粵語詩歌）,讚美的時刻,2:10,107,https://www.youtube.com/watch?v=9y9elbi43HM
match,永活基督,3,20220508,20260419,jPNcVV2TSCs,永活基督  普天頌讚新修訂版第274首  吳仲廉,Penelope Chan,2:45,95,https://www.youtube.com/watch?v=jPNcVV2TSCs
match,永生神就是靈,3,20220220,20250126,lsTdTiXfVBg,"永生神就是靈 Immortal, Invisible, God Only Wise - 第二屆聖詩頌唱會「耶穌基督我心所信」",香港聖詩會 Hong Kong Hymn Society,2:38,107,https://www.youtube.com/watch?v=lsTdTiXfVBg
match,永遠尊貴,3,20220501,20260301,-ZnOCvRnwaQ,【永遠尊貴 All Honor To You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),讚美之泉 Stream Of Praise Music Ministries,5:38,115,https://www.youtube.com/watch?v=-ZnOCvRnwaQ
match,治萬方,3,20221127,20241117,XnJyM4VGaFc,主治萬方 Jesus Shall Reign Where'er the Sun｜生命聖詩16（國語）,傳統聖詩 Traditional Hymns,2:53,107,https://www.youtube.com/watch?v=XnJyM4VGaFc
match,為何揀選我,3,20230402,20250302,b5nij6n8_JM,為何揀選我,團契遊樂園 - Topic,4:52,260,https://www.youtube.com/watch?v=b5nij6n8_JM
match,為我受傷,3,20221002,20260104,0IGQ_LRTmmk,【為我受傷】Wounded for me│詞：Rober & Ovens│曲：William G. J. Ovens│鋼琴：朱素雲│頌唱：Teresa Huang│#基督教傳統詩歌 #受難節復活節詩歌,Teresa古今詩歌Hymns♬,3:01,107,https://www.youtube.com/watch?v=0IGQ_LRTmmk
match,真光普照,3,20230430,20250824,BDIPIamUqEE,純·敬拜隊：真光普照,ekmanson,3:38,107,https://www.youtube.com/watch?v=BDIPIamUqEE
match,祢是我神,3,20230423,20250706,RdoeAXXld10,祢是我神,touchmusichk - Topic,4:19,260,https://www.youtube.com/watch?v=RdoeAXXld10
match,給我子女名份,3,20210801,20240218,a3DiWZScTSU,主給我子女名份/ 盡心盡性讚美祂,611 Worship 敬拜,6:27,115,https://www.youtube.com/watch?v=a3DiWZScTSU
match,美哉錫安,3,20210725,20230709,3VWBvV6yisI,美哉錫安,Teresa,3:13,260,https://www.youtube.com/watch?v=3VWBvV6yisI
match,耶和華以勒,3,20210613,20250928,-KNbJjsfGIo,耶和華以勒,栽蒔,3:22,260,https://www.youtube.com/watch?v=-KNbJjsfGIo
match,耶穌奇妙的救恩,3,20221120,20250615,Za0hLucl6fI,耶穌奇妙的救恩,宇宙光百人大合唱,2:47,260,https://www.youtube.com/watch?v=Za0hLucl6fI
match,耶穌愛我,3,20220515,20250518,6vAILBz8cgo,【 耶穌愛我 Jesus Loves Me】- 活水囝仔兒童敬拜舞蹈,活水囝仔,3:33,107,https://www.youtube.com/watch?v=6vAILBz8cgo
match,耶穌配得至聖尊榮,3,20230723,20250511,YE34QiLu1sg,讚之歌_耶穌配得至聖尊榮,Jennifer Poon,4:56,95,https://www.youtube.com/watch?v=YE34QiLu1sg
match,聖名榮光,3,20220213,20240505,dYHsbERCqTU,委身詩班20190210主日獻詩 聖名榮光,Taipei Trinity,2:10,95,https://www.youtube.com/watch?v=dYHsbERCqTU
match,聖善夜,3,20211205,20251221,WiQbzG7Tew8,【無伴奏合唱 Acapella】聖善夜 O Holy Night｜ 讚美之泉,讚美之泉 Stream Of Praise Music Ministries,3:04,97,https://www.youtube.com/watch?v=WiQbzG7Tew8
match,至高尊貴的祢,3,20230115,20250316,_l7d2uvAXKE,至高尊貴的祢,影音使團有限公司 The Media Evangelism Limited,4:25,260,https://www.youtube.com/watch?v=_l7d2uvAXKE
match,萬國萬民讚美主,3,20221127,20241124,OxF1O_xboSA,萬國萬民讚美主 - 2018 基恩敬拜禱告更新｜詩班獻詩,基恩敬拜 Amazing Grace Worship,3:23,115,https://www.youtube.com/watch?v=OxF1O_xboSA
match,薪火永傳,3,20220515,20240324,gdjd5T78rBc,『薪火永傳 』 團契遊樂園3 薪火永傳（基督教詩歌）,m2kmusic,3:51,107,https://www.youtube.com/watch?v=gdjd5T78rBc
match,要忠心,3,20221127,20240414,yiApkyNmE5Y,生命聖詩346 | 要忠心 | Be True  (We are going forth from the school of Jesus),SongsOfAscents上行詩,3:54,107,https://www.youtube.com/watch?v=yiApkyNmE5Y
match,讓我感恩,3,20220109,20260222,4n8UYvrGX44,讓我感恩,Release - Topic,3:57,260,https://www.youtube.com/watch?v=4n8UYvrGX44
match,讚美我天父,3,20210613,20230604,YRrDoIw0ZuA,青年新歌_讚美我天父,Jennifer Poon,3:18,107,https://www.youtube.com/watch?v=YRrDoIw0ZuA
miss,一心宣講祢的愛,3,20251102,20251123,,,,,,【祢的愛 Your Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12P) | 【讚美之泉 feat. 柳子駿牧師】我要一心稱謝祢｜ 讚美之泉 | 【是祢的愛 It's Your Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (18)
miss,慈愛長存,3,20211010,20230910,,,,,,[劉冠霖詩歌集] 6.耶和華慈愛永遠長存 / 心曲 詩歌專輯 | 【動態歌詞】祂的慈愛永遠長存 - 詠生敬拜 LifeSong Worship (不在祢以外 專輯) | 祂的慈愛永遠長存 (Forever)
skip,至高尊貴的袮,3,20210815,20240114,,,,,,duplicate normalized title
