list,path,number,title,videoId,viewCount,viewCheckedAt,status,category,source
Hymns,hymns.json,HYMN-017,因祢堅持,4m6vjriw7a8,496388,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-018,天地讚美,2xT4SagZ_jg,353293,2026-05-26,removed-under-500k,詩歌,C Jenny / YouTube
Hymns,hymns.json,HYMN-019,寶貝聖靈,nDltRKeqT60,263769,2026-05-26,removed-under-500k,詩歌,WN X 玻璃海樂團 X PHOTIC / YouTube
Hymns,hymns.json,HYMN-020,尋求神的臉,Vm0AvpyoLq0,58306,2026-05-26,removed-under-500k,詩歌,frankie choi 蔡賜輝 / YouTube
Hymns,hymns.json,HYMN-021,恩典太美麗,JlTb0Sf7xUg,1763133,2026-05-26,kept,詩歌,cantonworship / YouTube
Hymns,hymns.json,HYMN-022,耶和華要保護你,vij9KnhNDpo,842886,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-023,十架七言,ahz3WNruOjE,77049,2026-05-26,removed-under-500k,詩歌,m2kmusic / YouTube
Hymns,hymns.json,HYMN-024,最美好盡力愛祢,Rc78LOgNt5M,357719,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-025,我心靈得安寧,XC8OsGnoisg,187844,2026-05-26,removed-under-500k,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-026,是為了我罪,Mt7CHPlMtqw,123078,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-027,求主給這世代看見異象,7CSnTSZKIh8,148466,2026-05-26,removed-under-500k,詩歌,Milk&Honey Worship / YouTube
Hymns,hymns.json,HYMN-028,無言的讚頌,5gyQFFRFEiA,197501,2026-05-26,removed-under-500k,詩歌,WAM Worship 沙田浸信會崇拜及聖樂事工 / YouTube
Hymns,hymns.json,HYMN-029,獻上今天,ZW6SM5K1MhQ,112826,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-030,獻給我天上的主,0rh6R51MRls,985489,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-031,尋求祢面,6pKyphrDclA,78442,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-032,我們愛因為神先愛,szBB3WqM9x4,606706,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-033,永恆國度,r-ZgxbHyenA,84995,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-034,深恩厚愛,ySMMe-FbERI,58730,2026-05-26,removed-under-500k,詩歌,YWAM Gateway Worship / YouTube
Hymns,hymns.json,HYMN-035,自耶穌來住在我心,6AvjcXHPQpo,78894,2026-05-26,removed-under-500k,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-036,請堅固我,s0h93HvF3aY,924040,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-037,盡心盡性讚美祂,TAhJpJZr7ns,72861,2026-05-26,removed-under-500k,詩歌,讚美的時刻 / YouTube
Hymns,hymns.json,HYMN-038,立志擺上,WLtqi4s29LQ,5948498,2026-05-26,kept,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-039,義人的路,tjxFw28Lp5E,134708,2026-05-26,removed-under-500k,詩歌,Jennifer Poon / YouTube
Hymns,hymns.json,HYMN-040,聽命勝於獻祭,uO1wRrH-ZiQ,116853,2026-05-26,removed-under-500k,詩歌,Matthew Lee / YouTube
Hymns,hymns.json,HYMN-041,萬有都歸祢,SOXdBgXWw4M,541373,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-042,愛伴我高飛,YaUocCvsfeQ,75875,2026-05-26,removed-under-500k,詩歌,MIC 好耶音樂 / YouTube
Hymns,hymns.json,HYMN-043,慈繩愛索,g0W4TYQX7NM,1095581,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-044,我要一生一世住在袮聖殿,SMK-OFG3fH8,86470,2026-05-26,removed-under-500k,詩歌,WN X 玻璃海樂團 X PHOTIC / YouTube
Hymns,hymns.json,HYMN-045,最好的路徑,wfAmoadlCo0,749152,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-046,謝謝祢的愛,x5PC2zb_kLM,323680,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-047,親眼看見祢,r6OF36e0-f4,4037792,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-048,一生之久,XHHxo4kErEQ,236772,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-049,一直都是祢,y7K-rMz3fUM,817260,2026-05-26,kept,詩歌,HTBBChurch / YouTube
Hymns,hymns.json,HYMN-050,小孩的讚頌,r0qDrlICcFQ,112417,2026-05-26,removed-under-500k,詩歌,Kwan Natalie / YouTube
Hymns,hymns.json,HYMN-051,黑暗終必過去,S--IP6hEiSM,178501,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-052,默默回望,-Du7LGKtMec,91476,2026-05-26,removed-under-500k,詩歌,基督徒青草原iGreenpastures / YouTube
Hymns,hymns.json,HYMN-053,上帝的兒女何等有福,QXIWuzw5ME0,208655,2026-05-26,removed-under-500k,詩歌,陳贊一博士 / YouTube
Hymns,hymns.json,HYMN-054,不曾配得的愛,t5lauYsm1OE,134596,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-055,不變的應許,JnXaTrJtbUA,4957422,2026-05-26,kept,詩歌,Son Music 新音樂敬拜創作 / YouTube
Hymns,hymns.json,HYMN-056,伴我成長,ef_qXm0vKlc,373954,2026-05-26,removed-under-500k,詩歌,基督徒青草原iGreenpastures / YouTube
Hymns,hymns.json,HYMN-057,今生所盼,LzJP04JZ0z4,217855,2026-05-26,removed-under-500k,詩歌,Saddleback Church Hong Kong / YouTube
Hymns,hymns.json,HYMN-058,假使我喚叫你,banarnnGvwU,55485,2026-05-26,removed-under-500k,詩歌,香港聖詩會 Hong Kong Hymn Society / YouTube
Hymns,hymns.json,HYMN-059,儘管我尚未看見,PtJLd5GEyb4,711374,2026-05-26,kept,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-060,唱一首天上的歌,ZSOYluQXi5o,5732032,2026-05-26,kept,詩歌,Andrew Vlogs / YouTube
Hymns,hymns.json,HYMN-061,得力在乎祢,PvCQf0SejTU,287477,2026-05-26,removed-under-500k,詩歌,耶穌是主Jesus is Lord / YouTube
Hymns,hymns.json,HYMN-062,感恩祭燃起,A0xGphDjmtg,130996,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-063,我向祢禱告,-IVXs-rBonc,3927677,2026-05-26,kept,詩歌,Son Music 新音樂敬拜創作 / YouTube
Hymns,hymns.json,HYMN-064,當我抬頭仰望,vMjdPG60CS0,4387364,2026-05-26,kept,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-065,谷中百合花,uhGSFj5McAQ,1737442,2026-05-26,kept,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-066,原是為我,Wg5LDm12jqg,272167,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-067,受造奇妙可畏,xxboAVv2Q34,122391,2026-05-26,removed-under-500k,詩歌,WN X 玻璃海樂團 X PHOTIC / YouTube
Hymns,hymns.json,HYMN-068,恩惠隨著我,4MqHMYPs1ac,159277,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-069,神啊！祢在哪兒,mbjAbHpetQc,1515243,2026-05-26,kept,詩歌,crest712 / YouTube
Hymns,hymns.json,HYMN-070,神愛我和你,5x-0Coj-yR4,2054312,2026-05-26,kept,詩歌,MrKoKei / YouTube
Hymns,hymns.json,HYMN-071,祢話語是我亮光,8KtQjK0GFjE,68909,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-072,耶和華是我的倚靠,Q1OaI5EEqGc,267954,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-073,靠著祢寶血,y8EreEN33Uo,242418,2026-05-26,removed-under-500k,詩歌,Son Music 新音樂敬拜創作 / YouTube
Hymns,hymns.json,HYMN-074,向著前方,7fumXjstga0,83297,2026-05-26,removed-under-500k,詩歌,Son Music 新音樂敬拜創作 / YouTube
Hymns,hymns.json,HYMN-075,萬主之主,F4GBw5f1KlQ,60481,2026-05-26,removed-under-500k,詩歌,cantonworship / YouTube
Hymns,hymns.json,HYMN-076,單單仰望祢,x9olp0a1Tqo,114283,2026-05-26,removed-under-500k,詩歌,Tony Lui / YouTube
Hymns,hymns.json,HYMN-077,開展主的國,MSo9dYTlr0E,61914,2026-05-26,removed-under-500k,詩歌,Take Up Your Cross 背起十架 / YouTube
Hymns,hymns.json,HYMN-078,祢的愛不離不棄,-kHB_L11P_U,21651388,2026-05-26,kept,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-079,聖靈請祢來,IjufasfZ9hE,11866739,2026-05-26,kept,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-080,因祂活著,BQm6FAH_A-k,118307,2026-05-26,removed-under-500k,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-081,因著信,qNndl7K3z3k,3223267,2026-05-26,kept,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-082,再次站起來,K-zNT8BxkD4,880886,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-083,祢是我惟一的倚靠,nXuUEAO8K6A,722671,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-084,主祢知道,H0B6KPHYbSQ,678880,2026-05-26,kept,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-085,最好的福氣,HcpvUZoIv70,2053215,2026-05-26,kept,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-086,復興我,R5lI1X1kyQE,648198,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-087,我能痊癒,rvYnI9pYeUE,619003,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-088,如此認識我,nqNRef8sAnw,1926641,2026-05-26,kept,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-089,晨禱,ZzHrqn6ZOas,582191,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-090,信心,fmLNcCIRaJw,519184,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-091,求主用我,C5Lt4OAsUjQ,453417,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-092,不要怕,XsJSBP_bCnw,434557,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-093,盼望在乎祢,ldT0EZcUYyo,389628,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-094,牽引,wcO7mOlhhNs,308073,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-095,既然出於祢,trUYFxgZ26g,276161,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-096,安穩在主裡,CheR2TDaHrY,271455,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-097,互相守望,NhtYmJVb8ss,262198,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-098,在地若天,QXblIgncypU,181448,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-099,感恩的祭,0wKDysWrqcI,165381,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-100,惟獨祢,7UkwavM5L1E,160865,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-101,晨曦盼望,Y_MS_mkpvEg,477232,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-102,普天頌讚,BJ2N3Yigx4Q,148307,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-103,祝福裡的琢磨,cHtpFxzQwmc,465219,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-104,幽谷中的盼望,Bdb2WwLbcy0,450360,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-105,手中的福音,q988hAhwesk,128289,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-106,伴我前行,5ZGPuIeWr34,118550,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-107,平安的約,IRkqBJeon6o,353503,2026-05-26,removed-under-500k,詩歌,WN X 玻璃海樂團 X PHOTIC / YouTube
Hymns,hymns.json,HYMN-108,求主助我數算,vBwBLfmFods,336115,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-109,和平之子,O1OPYz0kpOw,101192,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-110,永活真神,oZUpxd99KXc,96490,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-111,我渴想,Lkj3QaCInfE,96260,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-112,祢愛環繞,BVDXDL3B4ak,82817,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-113,不要憂慮,nF5J6AKOPvk,1522914,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-114,響應,LQF4zstrYyI,76045,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-115,如今屈膝,cqkoe3rRbZs,65896,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-116,日光之上,QTyqM_zFrJw,61988,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-117,萬人敬拜祢,P5ceSrDWNoU,60714,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-118,讓愛留痕,oTFIrftKuBg,171430,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-119,原來有祢,Gl5KiBSdhGQ,167576,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-120,絕處中的應許,TeX9AZC1tiw,145353,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-121,我遇見神,C_HdUkhBdLk,131637,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-122,全因基督,KZDoxiqt2kg,82993,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-123,是祢湧流的愛,rnRzxYpRWrw,70706,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-124,傲然前奔,dNh1J9tA6Jk,60864,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-125,光和鹽,pjK7yIRRLt4,374264,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-126,走出曠野,ivCpgsBriFE,365411,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-127,愛叫我勇敢踏前,7tnNbs6kWNk,362810,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-128,信實的確據,ly0_tyC9Hbw,56511,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-129,刻在祢心底的名字,uiEYQz1JY2U,351762,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-130,世上最好的愛,5RWH8V8hMdY,301802,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-131,萬物都有時,fEEbyAQRpAc,264776,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-132,祢坐著為王,rM8djTcpAOA,263209,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-133,同證主美意,yLhL8FkV-Tg,246747,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-134,有神同往,19Goaww-QxU,153652,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-135,耶穌我感謝你,0BgGRnjRckI,141918,2026-05-26,removed-under-500k,詩歌,玻璃海樂團 - Topic / YouTube
Hymns,hymns.json,HYMN-136,沒有可給祢,jX9Yci5-14E,133503,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-137,世代的禱告,EDV4qPXjN8U,123517,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-138,創始成終,pNFI59C3hb0,112577,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-139,四面環繞的恩惠,z7C1DDoEbEk,105392,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-140,轉回,VmfMMEYiOmM,138758,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-141,祂,iZkYu-ofp3Y,71479,2026-05-26,removed-under-500k,詩歌,CantonHymn恢復粵語詩歌敬拜文化運動 / YouTube
Hymns,hymns.json,HYMN-142,我在這裏,IdPJpuvb6qs,65603,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-143,記念我,u0dktayIgBU,61995,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-144,十架下的我,dBE5ieHmfas,61586,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-145,微小,EGHrlNHADAY,58242,2026-05-26,removed-under-500k,詩歌,建道神學院新祢呈敬拜隊 / YouTube
Hymns,hymns.json,HYMN-146,我的日子如何,LM8MdE0Wxn8,56185,2026-05-26,removed-under-500k,詩歌,玻璃海樂團 - Topic / YouTube
Hymns,hymns.json,HYMN-147,全地至高是我主,-gRLvt8SjMM,1382309,2026-05-26,kept,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-148,小小敬拜者,YJDvycMs_Mg,224927,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-149,神是我這生供應者,VlM0SyPAQNA,164182,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-150,耶穌恩光,b4T2qQg8vlE,300115,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-151,牧我一生,QDjUp9K8Wis,140572,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-152,至高尊貴的祢,HkAczox3JSY,420259,2026-05-26,removed-under-500k,詩歌,角聲使團 The Heralders / YouTube
Hymns,hymns.json,HYMN-153,跟主天際飛,sEdut7P9s-U,264629,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-154,頌讚主聖名,dpYE5BUpbqE,67858,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-155,無可相比,EwZK_3t8s2k,66013,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-156,祢是我神,3ne_YTWSacU,1168294,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-157,耶和華以勒,_ptl6lbH8pw,778969,2026-05-26,kept,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-158,憑信跨過,Y6CF2cycswU,461665,2026-05-26,removed-under-500k,詩歌,鹹蛋音樂事工Salted Egg Music Ministry / YouTube
Hymns,hymns.json,HYMN-159,抬起我的頭,rliR1n4VXLA,3891213,2026-05-26,kept,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-160,感謝一生有祢,kF-xR8Z04p4,1508975,2026-05-26,kept,詩歌,Tina K / YouTube
Hymns,hymns.json,HYMN-161,神大愛,O9tcXjy4gao,649510,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-162,若有人在基督裡,hr9ZyP1SElE,1627680,2026-05-26,kept,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-163,應許與我同在,DpLyKZvKwfI,251014,2026-05-26,removed-under-500k,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-164,阿爸這就是祢,M5p_fKpBQDs,1299342,2026-05-26,kept,詩歌,KUA GLOBAL 跨越 / YouTube
Hymns,hymns.json,HYMN-165,願你公義降臨,N-6Zh452v7A,210650,2026-05-26,removed-under-500k,詩歌,玻璃海樂團 - Topic / YouTube
Hymns,hymns.json,HYMN-166,只因愛,Kb8WsI_Cm3o,187904,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-167,撒種者的愛,kyHz5EskJHg,439923,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-168,美好清晨,NMg1ZZRxfQE,415460,2026-05-26,removed-under-500k,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-169,登耶和華的山,mOmO9VqtUjA,409257,2026-05-26,removed-under-500k,詩歌,同心圓敬拜福音平台 One Circle / YouTube
Hymns,hymns.json,HYMN-170,天開了,hqGFb0MMBYU,387351,2026-05-26,removed-under-500k,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
