title,count,first_date,last_date
勇敢走出去,2,20220904,20240128
十架犧牲的愛,2,20250323,20260308
十架的冠冕,2,20210606,20240623
古舊十架,2,20220410,20221106
同路人,2,20231217,20240107
同餅同杯,2,20240804,20250427
向主唱新歌,2,20230716,20240421
向君王歡呼,2,20250420,20260329
向耶和華唱樂歌,2,20250209,20260208
向至高者讚美,2,20211107,20250907
君尊僕人,2,20240901,20250907
啊！祢慈愛是何等的寶貴,2,20211003,20220918
啟應文,2,20211219,20220109
回應偉大真神,2,20230611,20250914
因祂寶架,2,20210808,20250713
因祂活著,2,20230409,20260405
因祢堅持,2,20250406,20250720
在路上,2,20241229,20250223
基督-永恆之主,2,20220529,20230212
基督耶穌今復生,2,20250427,20260405
天地讚美,2,20240714,20250713
天天歌唱,2,20250216,20251130
天涯咫尺,2,20221211,20251109
天父世界真美麗,2,20240211,20250511
奇妙十架,2,20211003,20251026
奇妙的愛,2,20220501,20240714
奇異的愛,2,20230305,20260329
奮起之歌,2,20210822,20211128
如此認識我,2,20230924,20250831
寶貝聖靈,2,20240225,20240811
尋求神的臉,2,20231008,20240519
復興聖潔,2,20231008,20260215
微小,2,20250928,20260517
恩主美善愛眷,2,20221211,20251228
恩典太美麗,2,20220424,20220703
愛,2,20230716,20251123
愛主更深,2,20220501,20260301
愛祢,2,20241020,20260125
慈悲仁愛上帝,2,20230312,20250323
懇求降臨,2,20211212,20221211
我們渴望的耶穌,2,20231210,20241201
我全然獻上,2,20240602,20250921
我心靈得安寧,2,20240428,20240512
我曾捨命為你,2,20220306,20250406
我的千古保障,2,20240414,20260517
我的生命獻給祢,2,20220227,20220424
我的神,2,20220320,20250824
我要一心稱謝祢,2,20240310,20240922
我要忠誠,2,20220403,20230226
我需要有祢在我生命中,2,20250518,20251207
我靈頌讚天上君王,2,20210919,20250629
我願像祢,2,20211226,20250824
投靠,2,20240204,20260201
救贖的恩典,2,20240107,20250907
敬拜創造主,2,20241020,20260215
新耶路撒冷,2,20221030,20251214
是愛,2,20230416,20260315
是為了我罪,2,20220417,20260405
普世歡騰,2,20211226,20221218
最大的福分,2,20240505,20250202
有福的人,2,20230122,20240616
有福的國,2,20231015,20240616
榮耀歸於真神,2,20221106,20250105
每天的禱告,2,20230806,20240811
永恆聖光,2,20240128,20260215
永約的神,2,20211024,20250504
求主給這世代看見異象,2,20210704,20250518
注目看耶穌,2,20220403,20230319
深哉,2,20220109,20250309
無言的讚頌,2,20220508,20241201
獨一的真神,2,20230129,20240204
獻上今天,2,20211017,20240922
獻上頌讚,2,20210711,20230903
獻給我天上的主,2,20220403,20230115
生命活水充滿我,2,20240331,20250601
當讚美聖父,2,20250525,20251026
當轉眼仰望耶穌,2,20231001,20251207
盡心盡性讚美祂,2,20220123,20240728
真光耀照 Lord Jesus Christ,2,20220109,20230108
祂愛我,2,20221023,20250420
祂救了我,2,20210606,20240204
神祢名尊貴,2,20231008,20231119
神臨在的器皿,2,20231015,20231029
神配得尊稱,2,20240225,20250824
祢坐著為王,2,20250622,20251026
祢是恆久不變,2,20220821,20260419
祢的慈愛,2,20240512,20250330
稱頌主為王,2,20230409,20260405
立志擺上,2,20221106,20221225
罪人朋友,2,20240526,20250706
義人的路,2,20220821,20241013
耶和華是愛,2,20220821,20250209
耶和華祢是我的神,2,20250202,20260111
耶和華要保護你,2,20240310,20260517
耶穌不改變,2,20220703,20220828
耶穌愛你,2,20220515,20230521
耶穌的愛,2,20220109,20250309
聖哉全能主,2,20240310,20240317
聖潔的祢,2,20230924,20240707
聽命勝於獻祭,2,20220807,20251012
與主合一,2,20220605,20240602
與神同行,2,20250323,20251130
興起為耶穌,2,20210822,20230108
萬有都歸祢,2,20240929,20241103
萬物的結局近了,2,20240128,20260503
萬王之王萬主之主,2,20221106,20221120
萬福源頭,2,20230430,20240421
虛心的人有福,2,20210815,20230129
表彰我主大能,2,20220116,20220612
要傳揚,2,20230326,20241110
要吶喊,2,20230326,20250831
親眼看見祢,2,20221002,20260118
觀看宇宙,2,20221023,20241027
認定祢,2,20240526,20250511
讓我得見祢的榮面,2,20241006,20250223
讚美中信心不斷升起,2,20251214,20251221
這一生最美的祝福,2,20220918,20260222
這是天父世界,2,20240317,20250518
這樣的愛,2,20250413,20250525
連於祢,2,20240721,20241013
選擇上主祝福,2,20210620,20250112
雖然,2,20230319,20250727
靠近十架,2,20230507,20250105
願祢國度降臨,2,20220703,20230205
願祢崇高,2,20221023,20231210
8),1,20230423,20230423
Amen!,1,20230528,20230528
EMMANUEL,1,20221218,20221218
Gloria,1,20241215,20241215
Gloria 榮耀頌,1,20241215,20241215
Hallelujah,1,20230219,20230219
Hallelujah 讚美主,1,20240519,20240519
Hallelujah！讚美主！,1,20240519,20240519
Immanuel,1,20241222,20241222
Joy in the Morning,1,20230430,20230430
Mighty Wind,1,20210613,20210613
My God,1,20211024,20211024
My King,1,20211024,20211024
O COME,1,20221218,20221218
Thy Praise I Sing,1,20211024,20211024
一,1,20241201,20241201
一心宣講袮的愛,1,20251116,20251116
一生一世同在,1,20220904,20220904
一生不枉過,1,20240908,20240908
一生之久,1,20260426,20260426
一生信靠,1,20211031,20211031
一生愛祢,1,20260215,20260215
一直都是祢,1,20241215,20241215
一直都是袮,1,20241215,20241215
一群大能的子民,1,20230521,20230521
一點小事,1,20220724,20220724
上帝恩,1,20240818,20240818
上帝的兒女何等有福,1,20210801,20210801
上帝聽禱告,1,20250608,20250608
上高山,1,20250223,20250223
不得了,1,20230521,20230521
不曾配得的愛,1,20230423,20230423
不朽的愛,1,20260322,20260322
不變的應許,1,20210905,20210905
乘鷹翅膀,1,20240811,20240811
事奉祢最甘甜,1,20221204,20221204
亞伯拉罕之神,1,20230813,20230813
亞伯拉罕的神,1,20250615,20250615
今生所盼,1,20251019,20251019
今要主自己,1,20220501,20220501
他們曾這樣獻上,1,20221113,20221113
以便以謝,1,20231126,20231126
以色列的聖者,1,20260308,20260308
以馬內利來臨 O COME,1,20221218,20221218
仿效聖徒,1,20211219,20211219
伴我成長,1,20210926,20210926
何等尊貴,1,20240616,20240616
作王,1,20240331,20240331
你們是世上的鹽,1,20230813,20230813
你當無懼,1,20260222,20260222
你要稱頌耶和華,1,20250608,20250608
使我播心和平,1,20260510,20260510
使我播送和平,1,20260510,20260510
使我靈自由,1,20230716,20230716
來信從主耶穌,1,20240818,20240818
來備宴,1,20220710,20220710
來尋我,1,20211205,20211205
來敬拜榮耀王,1,20231126,20231126
來覲見我主感恩獻詩,1,20211212,20211212
來讚美我上主,1,20240811,20240811
信靠順服,1,20240630,20240630
假使我喚叫你,1,20251109,20251109
偉大永生神,1,20220619,20220619
做個天父的小精兵,1,20230521,20230521
傾出愛,1,20250427,20250427
僕人之歌,1,20230903,20230903
儘管我尚未看見,1,20251019,20251019
先求祂的國,1,20230716,20230716
先求祂的國和義,1,20240121,20240121
先聖之神,1,20250914,20250914
光和鹽,1,20220626,20220626
全地當向主唱歌,1,20210718,20210718
全地都屬主,1,20250525,20250525
全地齊讚頌,1,20240623,20240623
全為祢傾倒,1,20251005,20251005
全獻在壇上,1,20231231,20231231
全能右手,1,20230702,20230702
兩個主,1,20230820,20230820
再次將我更新,1,20220626,20220626
凡事都能做,1,20250608,20250608
創造世界,1,20250810,20250810
十字架,1,20230226,20230226
十架七言,1,20260201,20260201
十架下,1,20230702,20230702
十架的大能,1,20240225,20240225
十架的愛,1,20240303,20240303
千古保障,1,20220710,20220710
原是為我,1,20250831,20250831
受主命差遣,1,20221023,20221023
受造奇妙可畏,1,20250928,20250928
受難前夕,1,20230806,20230806
只因愛,1,20230430,20230430
只有葉子,1,20241117,20241117
只見耶穌,1,20230305,20230305
同入聖殿,1,20211128,20211128
同心合意,1,20240623,20240623
向基督歡呼,1,20230611,20230611
向耶穌祈求,1,20260517,20260517
向著前方,1,20251116,20251116
吹我心,1,20251019,20251019
和撒那,1,20260329,20260329
哈利路亞,1,20250126,20250126
唱一首天上的歌,1,20221023,20221023
唱詩 :我的心袮要稱頌耶和華,1,20250824,20250824
唱詩 ： 全為祢傾倒,1,20251005,20251005
唱詩 ： 十架七言,1,20260201,20260201
唱詩 ： 君尊僕人,1,20250907,20250907
唱詩 ： 感恩祭,1,20250803,20250803
唱詩 ： 新的異象,1,20260104,20260104
唱詩 ： 是祢先愛我,1,20250601,20250601
唱詩 ： 活出愛,1,20260301,20260301
唱詩 ： 無以回報,1,20251102,20251102
唱詩 ： 當轉眼仰望耶穌,1,20251207,20251207
唱詩 ： 祢是我神,1,20250706,20250706
唱詩:心曲,1,20240218,20240218
啊,1,20251012,20251012
啊 ！ 祢創造我,1,20250803,20250803
啊祢慈愛是何等的寶貴,1,20230806,20230806
啟應文︰萬民尊崇主,1,20221023,20221023
單單仰望祢,1,20250720,20250720
回轉歸向上主,1,20240310,20240310
因主的名,1,20250209,20250209
因祢十架,1,20241006,20241006
因著信,1,20231224,20231224
因著十架,1,20240707,20240707
因袮榮耀,1,20240128,20240128
在主裡我們合一,1,20231015,20231015
在十架,1,20250601,20250601
在祢殿中,1,20241027,20241027
在祢面前蒙悅納,1,20210829,20210829
在至高之處,1,20240922,20240922
坐在寶座上聖潔羔羊,1,20250427,20250427
基督 — 永恆之主,1,20250209,20250209
基督凱旋,1,20230528,20230528
基督是主,1,20260308,20260308
基督精兵奮進,1,20240211,20240211
堅固保障,1,20210711,20210711
堅心相信,1,20210815,20210815
天國八福歌,1,20211024,20211024
天父,1,20240609,20240609
奇異恩典,1,20210801,20210801
奉獻甚麼,1,20241124,20241124
奮起 ！ 真光已臨 ！,1,20260118,20260118
好像個父親,1,20220619,20220619
如果你感困倦,1,20250119,20250119
如鷹展翅,1,20210711,20210711
如鹿切慕溪水,1,20240609,20240609
安,1,20211031,20211031
宣召_詩 98,1,20260412,20260412
宣教的中國,1,20231126,20231126
寰宇群生,1,20250608,20250608
尊主偉大,1,20230219,20230219
尋求祢面,1,20240825,20240825
尋求袮面,1,20240825,20240825
對我說話,1,20211017,20211017
小孩的讚頌,1,20230521,20230521
崇拜至高主,1,20251026,20251026
帶我進入祢的同在,1,20211003,20211003
常喜樂滿心間,1,20211219,20211219
平,1,20211031,20211031
平安的路,1,20250817,20250817
彼此相愛,1,20230219,20230219
徒然無愛,1,20230716,20230716
得力在乎祢,1,20260315,20260315
從亙古到永遠,1,20220918,20220918
復活得勝主,1,20230409,20230409
復興,1,20211128,20211128
復興我,1,20210808,20210808
心安泰似河流,1,20230528,20230528
心安泰似河流 Peace Like a River,1,20230528,20230528
心曲,1,20241208,20241208
忠心順服歌,1,20250831,20250831
快樂崇拜,1,20231029,20231029
快樂的家,1,20240512,20240512
恢復敬拜,1,20251019,20251019
恩惠隨著我,1,20260111,20260111
恩愛救贖主,1,20231203,20231203
惟獨耶穌,1,20210620,20210620
愛下去,1,20221016,20221016
愛伴我高飛,1,20250720,20250720
愛使我們勇敢,1,20260510,20260510
愛叫我勇敢踏前,1,20221016,20221016
愛可以再更多一點點,1,20230326,20230326
愛必堅固,1,20230108,20230108
愛燃燒,1,20230716,20230716
愛的真諦,1,20230514,20230514
愛的禮物,1,20230521,20230521
愛袮,1,20230723,20230723
愛．燃燒,1,20241124,20241124
感恩祭燃起,1,20240623,20240623
感謝天父,1,20240121,20240121
慈繩愛索,1,20260125,20260125
慶賀主受膏為王,1,20231203,20231203
憂傷痛悔的靈,1,20251012,20251012
憑信跨過,1,20240929,20240929
懇求祢,1,20260118,20260118
懇求臨降,1,20251214,20251214
我主無比珍貴,1,20231001,20231001
我以禱告來到祢跟前,1,20221218,20221218
我們來到主面前,1,20240630,20240630
我們呼求,1,20240414,20240414
我們愛因為神先愛,1,20230514,20230514
我們敬畏祢,1,20251012,20251012
我們既已領受聖餐,1,20250803,20250803
我向祢禱告,1,20240929,20240929
我尊崇祢,1,20220904,20220904
我尊崇袮,1,20240609,20240609
我從深處向袮求告,1,20230319,20230319
我心尊主為大,1,20231210,20231210
我心敬拜,1,20250525,20250525
我心獻曲,1,20250420,20250420
我心稱頌主,1,20241215,20241215
我愛我主國度,1,20250126,20250126
我愛祢,1,20231105,20231105
我愛袮,1,20240908,20240908
我是主的羊,1,20240324,20240324
我曾捨命為祢,1,20250406,20250406
我歌頌祢,1,20240818,20240818
我用信心抬起頭,1,20230205,20230205
我的心,1,20250608,20250608
我的救贖者活著,1,20211107,20211107
我的父,1,20220320,20220320
我的磐石,1,20220320,20220320
我知誰掌管明天,1,20220313,20220313
我能給祢什麼,1,20250817,20250817
我要一生一世住在祢聖殿,1,20250803,20250803
我要一生一世住在袮聖殿,1,20230312,20230312
我要歌頌袮聖名,1,20230507,20230507
我要看見,1,20251019,20251019
我願意,1,20251123,20251123
投,1,20220710,20220710
投靠),1,20220227,20220227
擁戴榮耀羊羔,1,20251116,20251116
擁戴耶穌為王,1,20250420,20250420
救主,1,20241222,20241222
救主捨命心破碎,1,20240922,20240922
救恩的記號,1,20240505,20240505
敬拜主,1,20240324,20240324
數算主恩,1,20250323,20250323
新年齊蒙福,1,20240218,20240218
新生王,1,20231224,20231224
新的一天,1,20260118,20260118
新的方向,1,20260104,20260104
新的異象,1,20260104,20260104
是否我已將最好的獻耶穌?,1,20251102,20251102
是基督耶穌,1,20220710,20220710
是我力量,1,20210919,20210919
是我異象,1,20230604,20230604
是救主,1,20250420,20250420
晝思念神律法,1,20260215,20260215
普通的人,1,20230416,20230416
晴天雨天,1,20250831,20250831
暮色昏暗中有光茫,1,20221211,20221211
更像我恩主,1,20230101,20230101
更深愛祢,1,20230924,20230924
最好的福氣,1,20240519,20240519
最好的路徑,1,20260517,20260517
最珍貴的角落,1,20240818,20240818
最美好的仗,1,20230430,20230430
最美好盡力愛祢,1,20220130,20220130
有一恩手,1,20210919,20210919
有福的確據,1,20241110,20241110
末世燈臺,1,20220605,20220605
榮歸三一神,1,20230723,20230723
榮耀主竟屈尊,1,20240317,20240317
榮耀十架,1,20251102,20251102
榮耀歸於耶和華,1,20231112,20231112
榮耀歸於袮,1,20240331,20240331
榮耀歸與父神,1,20230416,20230416
榮耀神羔羊,1,20250907,20250907
樂哉家庭,1,20240324,20240324
樂歌榮神,1,20250112,20250112
樂歡欣,1,20260222,20260222
樂領聖餐,1,20210905,20210905
權柄交主,1,20210704,20210704
欠主重債,1,20230910,20230910
歌唱佳節,1,20231224,20231224
歌頌父神偉大權能,1,20260503,20260503
歡欣,1,20260510,20260510
歡笑感恩,1,20240519,20240519
每天要感謝,1,20240519,20240519
永恆主是牧養我的,1,20260426,20260426
永恆國度,1,20210606,20210606
永活的神,1,20220821,20220821
永活的神 My God Lives,1,20220821,20220821
永活真神,1,20221023,20221023
求主作我光,1,20220116,20220116
求主充滿我,1,20220102,20220102
求主寬恕,1,20220828,20220828
求主為我重新造清潔的心,1,20230326,20230326
求基督差使我,1,20211114,20211114
求基督差使我 Christ’s Own Body,1,20211114,20211114
求引領我心,1,20211226,20211226
求聖靈光照,1,20230219,20230219
求聖靈吹我,1,20230910,20230910
沒有祢,1,20240901,20240901
泰理士卡農,1,20240630,20240630
泰理士卡農 The Tallis Canon,1,20240630,20240630
洗淨我罪,1,20240324,20240324
活祭獻呈,1,20250504,20250504
活著,1,20240825,20240825
深不見底的愛,1,20240428,20240428
深恩厚愛,1,20250928,20250928
深知主恩永不盡,1,20250810,20250810
清心敬拜,1,20211017,20211017
無以回報,1,20251102,20251102
無價至寶,1,20231119,20231119
無可取替,1,20230219,20230219
無名的傳道者,1,20251130,20251130
無名的傳道者 - 蒙召,1,20221127,20221127
無愧的用人,1,20210627,20210627
無盡的愛,1,20230730,20230730
煉淨過的生命,1,20260412,20260412
燃亮這生光采,1,20240310,20240310
燃燒,1,20230716,20230716
生命之河,1,20240331,20240331
生命的話語,1,20210829,20210829
生趣,1,20250615,20250615
當我抬頭仰望,1,20240623,20240623
當盡本分,1,20220306,20220306
當聽主言,1,20210808,20210808
盡力地頌揚祢,1,20221016,20221016
盡心盡性,1,20251116,20251116
真光耀照,1,20220109,20220109
真愛,1,20251026,20251026
真神名號當頌揚,1,20211010,20211010
知主同行,1,20220123,20220123
確實上主在這地方,1,20241027,20241027
祂是主,1,20240331,20240331
祈求我恩主 Be Thou My Vision,1,20211024,20211024
神哪！我要讚美祢,1,20241027,20241027
神啊！ 祢在哪兒,1,20260201,20260201
神啊！我的心仰望祢！,1,20240218,20240218
神啊！我要讚美祢,1,20241027,20241027
神啊！祢在哪兒,1,20260201,20260201
神恩,1,20250615,20250615
神愛我和你,1,20230521,20230521
神我屬祢,1,20251221,20251221
神是君王,1,20211024,20211024
神是我們的避難所,1,20250629,20250629
神是永活全能,1,20240908,20240908
神會開道路,1,20240616,20240616
神的話,1,20240121,20240121
神聖嬰孩,1,20231224,20231224
祢愛何深 ！,1,20260329,20260329
祢愛何深！,1,20260329,20260329
祢成就救恩,1,20260503,20260503
祢是唯一,1,20210912,20210912
祢是我一切 You Are My All In All,1,20230514,20230514
祢是我力量,1,20220313,20220313
祢是我惟一的倚靠,1,20230730,20230730
祢是榮耀君王,1,20220410,20220410
祢是王,1,20221225,20221225
祢是配得,1,20230305,20230305
祢永掌管世界,1,20250921,20250921
祢為何揀選我,1,20240728,20240728
祢的名字是耶穌,1,20251123,20251123
祢的愛,1,20260419,20260419
祢的愛不離不棄,1,20260111,20260111
祢的話,1,20250119,20250119
祢的餅祢的杯,1,20241103,20241103
祢話語是我亮光,1,20260419,20260419
禱告的大軍,1,20230219,20230219
禱歌,1,20250518,20250518
稱謝,1,20230813,20230813
稱頌主榮名,1,20240707,20240707
稱頌主為王 Crown Him Lord of All !,1,20230409,20230409
等主來,1,20221204,20221204
結伴同行,1,20240121,20240121
美哉鍚安,1,20220710,20220710
耶和華基督是主,1,20250713,20250713
耶和華尼西,1,20250615,20250615
耶和華是我牧者,1,20210718,20210718
耶和華是我的依靠,1,20220320,20220320
耶和華是我的倚靠,1,20260125,20260125
耶和華是我的牧者,1,20230212,20230212
耶和華有憐憫的愛,1,20250824,20250824
耶穌召我們跟從祂,1,20260111,20260111
耶穌恩主今復生,1,20240331,20240331
耶穌恩光,1,20221211,20221211
耶穌我感謝祢,1,20250810,20250810
耶穌為愛受難,1,20250406,20250406
耶穌的靈充滿你,1,20241215,20241215
耶穌祢已得勝,1,20210627,20210627
耶穌祢最寶貴,1,20260322,20260322
耶穌配受大崇拜,1,20220424,20220424
聆聽天使報佳音,1,20211219,20211219
聖哉 Sanctus,1,20210711,20210711
聖哉全能大主宰,1,20250323,20250323
聖殿充滿讚美,1,20240414,20240414
聖潔耶穌,1,20260329,20260329
聖誕佳音,1,20241222,20241222
聖靈運行創造,1,20220724,20220724
聖靈開啟心靈,1,20210613,20210613
聖靈開啟心靈 A Rushing,1,20210613,20210613
腳步,1,20250216,20250216
自耶穌來住在我心,1,20220220,20220220
與主同死同活,1,20240310,20240310
與祢一起,1,20231119,20231119
良善與仁,1,20251026,20251026
若非耶和華,1,20250622,20250622
萬主之主,1,20221106,20221106
萬名之上的名,1,20211205,20211205
萬國讚美,1,20251109,20251109
萬有高歌,1,20240728,20240728
萬物結局近了,1,20260503,20260503
萬王之王,1,20221106,20221106
萬眾同路,1,20240128,20240128
蒙大恩蒼生當稱讚頌揚,1,20221002,20221002
藉我賜恩福,1,20220327,20220327
袮是我一切,1,20230514,20230514
袮是我的一切,1,20230514,20230514
西面頌,1,20251214,20251214
要頌揚,1,20250831,20250831
親近祢,1,20241006,20241006
親近袮,1,20241006,20241006
認識你是祢,1,20220320,20220320
誰主明天,1,20260208,20260208
誰會差派一個嬰孩,1,20251228,20251228
誰會差派一個嬰孩？,1,20231217,20231217
誰能使我與神的愛隔絕,1,20220424,20220424
請堅固我,1,20231203,20231203
請差遣我,1,20220731,20220731
謝謝祢的愛,1,20251228,20251228
讓愛留痕,1,20220731,20220731
讓愛走動,1,20220703,20220703
讓我讚美祢,1,20250518,20250518
讓我讚美袮,1,20250518,20250518
讓每顆心,1,20260308,20260308
讓讚美飛揚,1,20231015,20231015
讚嘆主恩,1,20251005,20251005
讚歎主恩,1,20210704,20210704
讚美主偉大,1,20230521,20230521
讚美主名,1,20251012,20251012
讚美恩主,1,20210627,20210627
讚美救主,1,20250202,20250202
讚美敬拜上主,1,20210627,20210627
讚美聖靈,1,20240609,20240609
谷中百合花,1,20210613,20210613
豈可空手回天家,1,20230129,20230129
赦我罪過,1,20220904,20220904
赴主宴席,1,20260405,20260405
踏上彩虹,1,20250413,20250413
輕輕聽,1,20220717,20220717
轉向祢,1,20240407,20240407
這個家,1,20221009,20221009
連於元首,1,20220619,20220619
連於袮,1,20241013,20241013
逾越,1,20250622,20250622
遠在太初前,1,20231001,20231001
那有我,1,20240901,20240901
那雙看不見的手,1,20240721,20240721
開展主的國,1,20240211,20240211
靈氣,1,20251019,20251019
青苗生長,1,20260405,20260405
青苗生長歌,1,20240512,20240512
靠,1,20220710,20220710
靠主有福,1,20211212,20211212
靠著祢寶血,1,20221106,20221106
音樂榮神,1,20221023,20221023
頌讚哈利路亞,1,20221009,20221009
頌讚歸於永活神,1,20250223,20250223
頌讚祢 hallelujah,1,20211121,20211121
願袮崇高,1,20231210,20231210
高舉我神,1,20240728,20240728
黑暗終必過去,1,20240225,20240225
默默回望,1,20251228,20251228
齊來響應頌聖名,1,20240114,20240114
齊歡慶歌唱,1,20250608,20250608
齊頌讚祂,1,20260222,20260222
